"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Shiyakusho,6.19,7.29,-1.0999999,7953,4792,1435,Feb 2022 - Feb 2022,Sep 2013 - Dec 2023
Choukadou Girl ⅙,5.97,7.07,-1.1000004,8984,7566,657,Apr 2019 - Jun 2019,Jul 2012 - Nov 2015
Imawa no Kuni no Alice,7.29,8.4,-1.1099997,2582,205,73315,Oct 2014 - Feb 2015,Nov 2010 - Mar 2016
Assassins Pride,5.93,7.04,-1.1100001,9178,7985,2314,Oct 2019 - Dec 2019,Jan 2016 - Dec 2023
Isekai Shoukan wa Nidome desu,5.68,6.79,-1.1100001,10210,11389,1724,Apr 2023 - Jun 2023,Oct 2015 - Jul 2017
Urasekai Picnic,6.62,7.73,-1.1100001,5744,1516,5860,Jan 2021 - Mar 2021,Feb 2018 - Dec 2023
Death March kara Hajimaru Isekai Kyousoukyoku,6.46,7.57,-1.1100001,6615,2378,11464,Jan 2018 - Mar 2018,Mar 2014 - Dec 2023
Gantz,6.99,8.1,-1.1100006,4065,567,221946,Apr 2004 - Jun 2004,Jul 2000 - Jun 2013
Jitsu wa Watashi wa,6.84,7.97,-1.1299996,4684,772,45429,Jul 2015 - Sep 2015,Jan 2013 - Feb 2017
GS Mikami: Gokuraku Daisakusen!!,6.59,7.72,-1.1299996,5907,1571,3363,Aug 1994 - Aug 1994,Apr 1991 - Sep 1999
Glass no Kamen,7.34,8.48,-1.1399994,2344,153,10892,Apr 1984 - Sep 1984,Jan 1976 - May 2012
Danchigai,6.5,7.64,-1.1399999,6411,1984,5261,Jul 2015 - Sep 2015,Jun 2011 - Sep 2021
Ichigo 100%,6.63,7.77,-1.1399999,5712,1360,46758,Apr 2005 - Jun 2005,Feb 2002 - Aug 2005
Tachibanakan Triangle,5.61,6.75,-1.1399999,10480,11968,4986,Apr 2018 - Jun 2018,Nov 2014 - Apr 2020
Yakumotatsu,5.99,7.13,-1.1400003,8903,6614,619,Oct 1997 - Nov 1997,May 1992 - Jul 2002
Noramimi,6.07,7.24,-1.1699996,8539,5312,628,Jan 2008 - Mar 2008,Nov 2003 - Dec 2009
