"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Jormungand,7.8,7.79,0.010000229,922,1291,13251,Apr 2012 - Jun 2012,Apr 2006 - Jan 2012
Hyouka,8.08,8.07,0.010000229,495,612,17392,Apr 2012 - Sep 2012,Jan 2012 - Dec 2023
Planet With,7.16,7.15,0.009999752,3288,6415,1356,Jul 2018 - Sep 2018,Apr 2018 - Jul 2022
Houkago Saikoro Club,6.7,6.69,0.009999752,5382,12692,1025,Oct 2019 - Dec 2019,Mar 2013 - Jun 2021
Kobato.,7.95,7.94,0.009999752,651,850,20642,Oct 2009 - Mar 2010,Dec 2004 - Jul 2011
Majimoji Rurumo,6.83,6.82,0.009999752,4751,11063,1939,Jul 2014 - Sep 2014,May 2007 - Dec 2010
Rainbow: Nisha Rokubou no Shichinin,8.48,8.47,0.009999275,134,156,32043,Apr 2010 - Sep 2010,Nov 2002 - Jan 2010
Isekai Yakkyoku,7.31,7.31,0.0,2498,4519,16148,Jul 2022 - Sep 2022,Nov 2016 - Dec 2023
Rakudai Kishi no Cavalry,7.44,7.44,0.0,1939,3329,27855,Oct 2015 - Dec 2015,Mar 2014 - Dec 2017
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,8.1,0.0,459,569,92357,Apr 2014 - Sep 2014,Mar 1989 - Apr 1992
Jinrui wa Suitai Shimashita,7.73,7.73,0.0,1078,1544,2467,Jul 2012 - Sep 2012,May 2007 - Jun 2014
Fairy Tail,7.57,7.57,0.0,1487,2377,4187,Oct 2009 - Mar 2013,May 2012 - Mar 2016
Cardfight!! Vanguard,7.02,7.02,0.0,3918,8204,1123,Jan 2011 - Mar 2012,Nov 2010 - Apr 2017
InuYasha,7.86,7.86,0.0,799,1065,63142,Oct 2000 - Sep 2004,Nov 1996 - Jun 2008
Kirarin☆Revolution,7.06,7.06,0.0,3711,7682,2702,Apr 2006 - Mar 2009,Mar 2004 - May 2009
Zetsuen no Tempest,7.91,7.91,0.0,706,940,21034,Oct 2012 - Mar 2013,Jul 2009 - Oct 2013
Kore ga Watashi no Goshujinsama,6.52,6.52,0.0,6252,14674,3866,Apr 2005 - Jul 2005,Feb 2002 - Oct 2008
Koutetsu Tenshi Kurumi,6.75,6.75,0.0,5114,11897,734,Oct 1999 - Apr 2000,Oct 1997 - Dec 2003
Gosick,8.05,8.05,0.0,535,643,6317,Jan 2011 - Jul 2011,Dec 2003 - Jul 2011
Mahou Shoujo Ikusei Keikaku,6.96,6.96,0.0,4175,9016,2117,Oct 2016 - Dec 2016,Sep 2014 - Oct 2015
Mo Dao Zu Shi,8.43,8.44,-0.009999275,156,172,10432,Jul 2018 - Oct 2018,Dec 2017 - Oct 2022
Chuukan Kanriroku Tonegawa,7.17,7.18,-0.009999752,3203,6099,976,Jul 2018 - Dec 2018,Jun 2015 - Jun 2020
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7.36,7.37,-0.009999752,2249,3926,5521,Oct 2021 - Dec 2021,Feb 2019 - Dec 2023
Magic Kaito,7.78,7.79,-0.009999752,952,1288,7923,Apr 2010 - Dec 2012,May 1987 - Dec 2023
Denpa Onna to Seishun Otoko,7.13,7.14,-0.009999752,3409,6485,2788,Apr 2011 - Jul 2011,Aug 2010 - Jul 2013
Rental Magica,7.01,7.02,-0.009999752,3992,8261,811,Oct 2007 - Mar 2008,Jun 2006 - Jul 2009
Enen no Shouboutai,7.71,7.72,-0.009999752,1114,1563,101405,Jul 2019 - Dec 2019,Sep 2015 - Feb 2022
Nourin,6.75,6.76,-0.010000229,5120,11843,1008,Jan 2014 - Mar 2014,Mar 2012 - Jun 2015
Cool Doji Danshi,7.87,7.88,-0.010000229,794,1001,6179,Oct 2022 - Mar 2023,Jun 2019 - Dec 2023
The iDOLM@STER,7.6,7.61,-0.010000229,1393,2117,1317,Jul 2011 - Dec 2011,Aug 2012 - Aug 2016
Kageki Shoujo!!,7.75,7.76,-0.010000229,1038,1389,2261,Jul 2021 - Sep 2021,Feb 2015 - Dec 2023
Guin Saga,7.16,7.17,-0.010000229,3261,6198,1666,Apr 2009 - Sep 2009,Jan 2007 - Jun 2010
Planetes,8.26,8.28,-0.019999504,283,323,50664,Oct 2003 - Apr 2004,Jan 1999 - Jan 2004
Deltora Quest,7.07,7.09,-0.01999998,3680,7229,828,Jan 2007 - Mar 2008,Oct 2005 - Dec 2008
Shisha no Teikoku,6.85,6.87,-0.01999998,4632,10296,1463,Oct 2015 - Oct 2015,Sep 2015 - Sep 2016
Mitsudomoe,7.53,7.55,-0.01999998,1629,2474,3421,Jul 2010 - Sep 2010,Mar 2006 - Aug 2017
Asura,7.0,7.02,-0.01999998,4028,8181,1421,Sep 2012 - Sep 2012,Nov 2008 - Feb 2011
Level E,7.41,7.43,-0.01999998,2058,3350,7927,Jan 2011 - Apr 2011,Sep 1995 - Dec 1996
Slayers Premium,7.16,7.18,-0.01999998,3297,5993,836,Dec 2001 - Dec 2001,Mar 2002 - Mar 2002
Fushigi Yuugi,7.61,7.63,-0.01999998,1366,1991,22806,Apr 1995 - Mar 1996,May 1992 - Jul 1996
Canaan,7.22,7.24,-0.01999998,2938,5344,2114,Jul 2009 - Sep 2009,Jun 2009 - Jan 2011
Working!!,7.65,7.67,-0.01999998,1273,1797,10198,Apr 2010 - Jun 2010,Dec 2004 - Nov 2014
Charlotte,7.75,7.77,-0.01999998,1030,1388,10594,Jul 2015 - Sep 2015,Jul 2015 - Dec 2018
Seijo no Maryoku wa Bannou desu,7.28,7.3,-0.01999998,2669,4637,9547,Apr 2021 - Jun 2021,Jul 2017 - Dec 2023
Rokujouma no Shinryakusha!?,7.13,7.15,-0.01999998,3438,6441,1118,Jul 2014 - Sep 2014,Dec 2013 - Feb 2017
Angolmois: Genkou Kassenki,7.12,7.14,-0.01999998,3474,6565,1887,Jul 2018 - Sep 2018,Feb 2013 - Aug 2018
Yingxiong Zai Lin,6.91,6.93,-0.01999998,4387,9537,1822,Oct 2020 - Dec 2020,Jan 2017 - Dec 2023
Mahoutsukai Precure!,7.26,7.28,-0.01999998,2751,4922,352,Feb 2016 - Jan 2017,Feb 2016 - Dec 2016
Potemayo,7.28,7.3,-0.01999998,2662,4597,573,Jul 2007 - Sep 2007,Jul 2004 - Jan 2011
Yuri Kuma Arashi,7.04,7.06,-0.01999998,3823,7659,2572,Jan 2015 - Mar 2015,Feb 2014 - Apr 2016
Adachi to Shimamura,7.1,7.12,-0.01999998,3546,6735,5896,Oct 2020 - Dec 2020,Apr 2016 - Sep 2017
Re-Kan!,6.75,6.77,-0.01999998,5121,11733,838,Apr 2015 - Jun 2015,Nov 2009 - Dec 2023
Shingeki no Kyojin,8.54,8.56,-0.020000458,107,105,632689,Apr 2013 - Sep 2013,Sep 2009 - Apr 2021
Clamp Gakuen Tanteidan,6.84,6.87,-0.029999733,4671,10331,5353,May 1997 - Oct 1997,Jan 1992 - Oct 1993
Araburu Kisetsu no Otome-domo yo.,7.34,7.37,-0.029999733,2331,3845,10599,Jul 2019 - Sep 2019,Dec 2016 - Sep 2019
Guilty Crown,7.42,7.45,-0.029999733,2032,3243,6568,Oct 2011 - Mar 2012,Oct 2011 - Nov 2013
Isekai Ojisan,7.84,7.87,-0.029999733,855,1024,16983,Jul 2022 - Mar 2023,Jun 2018 - Dec 2023
Seijo no Maryoku wa Bannou desu,7.28,7.31,-0.029999733,2669,4484,2003,Apr 2021 - Jun 2021,Feb 2017 - Dec 2023
Kunoichi Tsubaki no Mune no Uchi,7.16,7.19,-0.03000021,3270,5875,6414,Apr 2022 - Jul 2022,Jan 2018 - May 2023
Jigoku Sensei Nube,7.56,7.59,-0.03000021,1508,2234,3511,Apr 1996 - Jun 1997,Aug 1993 - May 1999
Juuni Taisen,6.54,6.57,-0.03000021,6163,14120,3635,Oct 2017 - Dec 2017,Sep 2017 - May 2018
Shokei Shoujo no Virgin Road,6.79,6.82,-0.03000021,4910,11009,2723,Apr 2022 - Jun 2022,Jun 2020 - Dec 2023
Dumbbell Nan Kilo Moteru?,7.25,7.28,-0.03000021,2796,4918,16814,Jul 2019 - Sep 2019,Aug 2016 - Dec 2023
Tsuki to Laika to Nosferatu,7.31,7.34,-0.03000021,2472,4216,1508,Oct 2021 - Dec 2021,Dec 2016 - Oct 2021
Gakuen Utopia Manabi Straight!,7.31,7.34,-0.03000021,2491,4196,481,Jan 2007 - Mar 2007,Oct 2005 - Dec 2007
Koi to Senkyo to Chocolate,6.99,7.02,-0.03000021,4072,8206,2587,Jul 2012 - Sep 2012,Nov 2010 - Feb 2014
Ikebukuro West Gate Park,6.87,6.9,-0.03000021,4544,9843,1091,Oct 2020 - Dec 2020,Jul 2001 - Nov 2004
Tokyo Ravens,7.43,7.46,-0.03000021,1960,3115,8149,Oct 2013 - Mar 2014,Apr 2010 - Jul 2017
Bamboo Blade,7.31,7.34,-0.03000021,2480,4184,7890,Oct 2007 - Apr 2008,Dec 2004 - Sep 2010
GetBackers,7.58,7.61,-0.03000021,1447,2133,14227,Oct 2002 - Sep 2003,Mar 1999 - Feb 2007
Cyborg Kuro-chan,7.13,7.17,-0.03999996,3408,6185,551,Oct 1999 - Jan 2001,Sep 1997 - Dec 2001
Hikaru no Go,8.08,8.12,-0.03999996,493,524,44472,Oct 2001 - Mar 2003,Dec 1998 - Jul 2003
Dai Mahou Touge,6.93,6.97,-0.03999996,4270,8957,689,Mar 2006 - Mar 2007,Feb 2001 - Jan 2007
Shachiku-san wa Youjo Yuurei ni Iyasaretai.,7.09,7.13,-0.03999996,3602,6692,1512,Apr 2022 - Jun 2022,Aug 2019 - Dec 2023
Ben-To,7.2,7.24,-0.03999996,3026,5270,2037,Oct 2011 - Dec 2011,Feb 2008 - Feb 2014
Shaman King,7.75,7.79,-0.03999996,1024,1279,71947,Jul 2001 - Sep 2002,Jun 1998 - Aug 2004
Kuro no Shoukanshi,7.1,7.14,-0.03999996,3570,6505,19954,Jul 2022 - Sep 2022,Jan 2018 - Dec 2023
Level 1 dakedo Unique Skill de Saikyou desu,6.44,6.48,-0.03999996,6729,15120,1071,Jul 2023 - Dec 2023,Sep 2017 - Dec 2023
Tantei Gakuen Q,7.73,7.77,-0.03999996,1062,1362,4649,Apr 2003 - Mar 2004,May 2001 - Jul 2005
Senpai ga Uzai Kouhai no Hanashi,7.61,7.65,-0.03999996,1380,1920,32434,Oct 2021 - Dec 2021,Mar 2018 - Dec 2023
Ojisan to Marshmallow,6.57,6.61,-0.03999996,6017,13688,788,Jan 2016 - Mar 2016,Jun 2014 - Oct 2017
Houkago Teibou Nisshi,7.42,7.46,-0.03999996,2036,3082,1949,Apr 2020 - Sep 2020,Feb 2017 - Dec 2023
Accel World,7.22,7.26,-0.04000044,2933,5073,11753,Apr 2012 - Sep 2012,Apr 2010 - Jun 2017
Koi wa Sekai Seifuku no Ato de,7.44,7.49,-0.049999714,1933,2877,12542,Apr 2022 - Jun 2022,Oct 2019 - Nov 2022
Mashle,7.58,7.63,-0.05000019,1455,2025,79949,Apr 2023 - Jul 2023,Jan 2020 - Jul 2023
Gugure! Kokkuri-san,7.56,7.61,-0.05000019,1502,2112,4266,Oct 2014 - Dec 2014,Jul 2011 - Nov 2016
Joshikousei no Mudazukai,7.71,7.76,-0.05000019,1120,1390,4485,Jul 2019 - Sep 2019,Nov 2014 - Dec 2023
Sakura Quest,7.39,7.44,-0.05000019,2125,3322,2986,Apr 2017 - Sep 2017,May 2017 - Oct 2018
Shijou Saikyou no Deshi Kenichi,8.05,8.1,-0.05000019,530,570,67962,Oct 2006 - Sep 2007,Aug 2002 - Sep 2014
Blood+,7.62,7.67,-0.05000019,1324,1805,2383,Oct 2005 - Sep 2006,Apr 2006 - Apr 2007
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,6.83,6.88,-0.05000019,4739,10185,2923,Sep 2008 - Sep 2008,Mar 2009 - Apr 2009
Mo Dao Zu Shi,8.43,8.49,-0.059999466,156,145,4161,Jul 2018 - Oct 2018,Dec 2016 - Dec 2016
Katanagatari,8.31,8.37,-0.059999466,237,231,6949,Jan 2010 - Dec 2010,Jan 2007 - Dec 2007
Boku dake ga Inai Machi,8.31,8.37,-0.059999466,234,233,84703,Jan 2016 - Mar 2016,Jun 2012 - Nov 2016
Barakamon,8.38,8.44,-0.059999466,185,173,39363,Jul 2014 - Sep 2014,Feb 2008 - Jan 2019
Kuroko no Basket,8.06,8.12,-0.059999466,520,533,74030,Apr 2012 - Sep 2012,Dec 2008 - Sep 2014
Fate/kaleid liner Prisma☆Illya,7.03,7.09,-0.059999943,3901,7213,10145,Jul 2013 - Sep 2013,Sep 2007 - Nov 2008
Akebi-chan no Sailor-fuku,7.69,7.75,-0.059999943,1173,1441,9613,Jan 2022 - Mar 2022,Aug 2016 - Dec 2023
Yowamushi Pedal,7.93,7.99,-0.059999943,681,734,14105,Oct 2013 - Jul 2014,Feb 2008 - Dec 2023
Tsuki ga Michibiku Isekai Douchuu,7.71,7.77,-0.059999943,1136,1352,35233,Jul 2021 - Sep 2021,Jun 2015 - Dec 2023
Boruto: Naruto the Movie,7.4,7.46,-0.059999943,2091,3108,4718,Aug 2015 - Aug 2015,Aug 2015 - Aug 2015
Captain Tsubasa: Road to 2002,7.44,7.5,-0.059999943,1916,2796,2260,Oct 2001 - Oct 2002,Dec 2000 - May 2004
The Last: Naruto the Movie,7.79,7.85,-0.059999943,933,1104,3939,Dec 2014 - Dec 2014,Dec 2014 - Dec 2014
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.55,7.61,-0.059999943,1547,2120,37852,Apr 2015 - Jun 2015,Aug 2013 - Sep 2018
Hataraku Maou-sama!,7.75,7.81,-0.059999943,1035,1229,36407,Apr 2013 - Jun 2013,Dec 2011 - Dec 2023
Ore no Imouto ga Konnani Kawaii Wake ga Nai,6.96,7.02,-0.059999943,4179,8278,12749,Oct 2010 - Dec 2010,Jan 2009 - Apr 2011
Koi to Yobu ni wa Kimochi Warui,7.14,7.2,-0.059999943,3363,5779,7272,Apr 2021 - Jun 2021,Feb 2016 - Mar 2021
Nobunagun,6.67,6.73,-0.059999943,5495,12242,960,Jan 2014 - Mar 2014,May 2011 - Aug 2015
Kyousou Giga,6.91,6.97,-0.059999943,4369,8993,1632,Dec 2011 - Dec 2011,Dec 2011 - Jan 2014
Kishuku Gakkou no Juliet,7.45,7.51,-0.06000042,1872,2740,924,Oct 2018 - Dec 2018,Feb 2017 - Feb 2017
Mushishi,8.66,8.72,-0.06000042,64,43,78507,Oct 2005 - Jun 2006,Nov 1999 - Aug 2008
Kanojo to Kanojo no Neko,7.28,7.35,-0.069999695,2645,4079,12491,Apr 2002 - Apr 2002,Feb 2016 - May 2016
Namiuchigiwa no Muromi-san,6.92,6.99,-0.069999695,4350,8698,1238,Apr 2013 - Jun 2013,Jan 2009 - May 2014
Youkai Watch,6.57,6.64,-0.069999695,6033,13314,1436,Jan 2014 - Mar 2018,Dec 2012 - Dec 2023
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",7.17,7.24,-0.069999695,3208,5349,4363,Apr 2022 - Jun 2022,Jun 2015 - Dec 2023
Gamers!,6.76,6.83,-0.069999695,5078,10937,5088,Jul 2017 - Sep 2017,Oct 2016 - Jul 2019
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,8.57,-0.069999695,128,98,97909,Apr 2016 - Dec 2016,Apr 1992 - Nov 1995
Hagure Yuusha no Aesthetica,6.74,6.81,-0.07000017,5158,11212,3363,Jul 2012 - Sep 2012,Jan 2012 - Jun 2013
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,6.79,6.86,-0.07000017,4945,10432,2229,Jul 2023 - Dec 2023,Aug 2021 - Dec 2023
Matantei Loki Ragnarok,7.25,7.32,-0.07000017,2808,4433,2274,Apr 2003 - Sep 2003,Mar 2002 - Aug 2004
Seitokai no Ichizon,7.31,7.38,-0.07000017,2513,3794,2560,Oct 2009 - Dec 2009,Jun 2008 - Dec 2012
Tomo-chan wa Onnanoko!,7.85,7.92,-0.07000017,816,914,118707,Jan 2023 - Mar 2023,Apr 2015 - Jul 2019
Yu☆Gi☆Oh!,7.22,7.29,-0.07000017,2931,4795,1253,Apr 1998 - Oct 1998,Sep 1999 - Sep 1999
Bokutachi no Remake,7.41,7.48,-0.07000017,2044,3001,3062,Jul 2021 - Sep 2021,Mar 2017 - Dec 2023
Keppeki Danshi! Aoyama-kun,6.96,7.03,-0.07000017,4168,8160,3149,Jul 2017 - Sep 2017,May 2014 - Jan 2018
Naruto,7.99,8.07,-0.07999992,603,605,401030,Oct 2002 - Feb 2007,Sep 1999 - Nov 2014
Death Note,8.62,8.7,-0.07999992,79,48,379910,Oct 2006 - Jun 2007,Dec 2003 - May 2006
Dekiru Neko wa Kyou mo Yuuutsu,7.44,7.52,-0.07999992,1920,2710,1497,Jul 2023 - Dec 2023,Aug 2018 - Dec 2023
Kamisama Dolls,7.0,7.08,-0.07999992,4046,7325,3296,Jul 2011 - Sep 2011,Dec 2006 - Feb 2013
Kai Byoui Ramune,7.15,7.23,-0.07999992,3340,5470,947,Jan 2021 - Mar 2021,Sep 2017 - Feb 2021
Daa! Daa! Daa!,7.66,7.74,-0.07999992,1247,1489,4378,Mar 2000 - Feb 2002,Feb 1998 - Mar 2002
Comic Girls,7.37,7.45,-0.07999992,2201,3188,3617,Apr 2018 - Jun 2018,Mar 2014 - Dec 2023
Overlord,7.91,7.99,-0.07999992,715,739,41713,Jul 2015 - Sep 2015,Nov 2014 - Dec 2023
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.18,8.26,-0.07999992,371,344,194746,Dec 2021 - Dec 2021,Dec 1999 - Apr 2003
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,7.55,7.63,-0.07999992,1560,2019,6508,Apr 2023 - Jul 2023,May 2018 - Dec 2023
Stella no Mahou,6.85,6.93,-0.07999992,4633,9483,932,Oct 2016 - Dec 2016,Aug 2012 - Dec 2021
Jashin-chan Dropkick,7.02,7.1,-0.07999992,3929,7130,5921,Jul 2018 - Sep 2018,Apr 2012 - Dec 2023
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.54,7.62,-0.07999992,1610,2048,3456,Jan 2020 - Mar 2020,Sep 2017 - Dec 2023
Kimi no Suizou wo Tabetai,8.56,8.64,-0.07999992,97,69,5978,Sep 2018 - Sep 2018,Jun 2015 - Jun 2015
Zero kara Hajimeru Mahou no Sho,7.07,7.15,-0.07999992,3673,6448,2643,Apr 2017 - Jun 2017,Dec 2014 - Jun 2017
Akkun to Kanojo,6.83,6.91,-0.07999992,4724,9703,2989,Apr 2018 - Sep 2018,Jun 2013 - Jun 2018
Inukami!,7.23,7.31,-0.07999992,2899,4557,3035,Apr 2006 - Sep 2006,Oct 2005 - Feb 2008
Blood Lad,7.26,7.34,-0.07999992,2730,4227,1260,Jul 2013 - Sep 2013,Jun 2013 - Jun 2013
Blood-C,6.53,6.61,-0.07999992,6213,13710,6427,Jul 2011 - Sep 2011,May 2011 - Aug 2012
Urusei Yatsura,7.73,7.81,-0.07999992,1065,1213,11592,Oct 1981 - Mar 1986,Aug 1978 - Jan 1987
Mahou Shoujo Ore,6.64,6.72,-0.07999992,5643,12395,2483,Apr 2018 - Jun 2018,Nov 2012 - Feb 2014
Oniichan wa Oshimai!,7.7,7.78,-0.0800004,1157,1315,16349,Jan 2023 - Mar 2023,Jun 2018 - Dec 2023
"Tokyo Ghoul: ""Jack""",7.3,7.39,-0.089999676,2541,3744,29496,Sep 2015 - Sep 2015,Aug 2013 - Sep 2013
Hataraku Saibou Black,7.53,7.62,-0.089999676,1621,2076,10346,Jan 2021 - Mar 2021,Jun 2018 - Jan 2021
Dororon Enma-kun,6.14,6.23,-0.09000015,8190,16666,1050,Oct 1973 - Mar 1974,Sep 1973 - Mar 1974
One Piece: Taose! Kaizoku Ganzack,6.7,6.79,-0.09000015,5346,11379,1036,Jul 1998 - Jul 1998,Jun 1999 - Jun 1999
School Rumble,7.89,7.98,-0.09000015,758,765,28928,Oct 2004 - Mar 2005,Oct 2002 - Jul 2008
Inou-Battle wa Nichijou-kei no Naka de,7.06,7.15,-0.09000015,3761,6438,2306,Oct 2014 - Dec 2014,Jul 2013 - Feb 2015
Sidonia no Kishi,7.64,7.73,-0.09000015,1294,1537,30647,Apr 2014 - Jun 2014,Apr 2009 - Sep 2015
Golden Time,7.74,7.83,-0.09000015,1046,1139,5943,Oct 2013 - Mar 2014,Sep 2010 - Mar 2014
Zero no Tsukaima,7.23,7.32,-0.09000015,2925,4413,11464,Jul 2006 - Sep 2006,Jun 2006 - Oct 2009
Cross Game,8.38,8.48,-0.09999943,188,152,20238,Apr 2009 - Mar 2010,Sep 2005 - Feb 2010
Ginga Nagareboshi Gin,8.02,8.12,-0.09999943,570,531,4164,Apr 1986 - Aug 1986,Nov 1983 - Feb 1987
Black Bullet,7.09,7.19,-0.099999905,3618,5871,15448,Apr 2014 - Jul 2014,Aug 2012 - Jun 2014
Asura Cryin',6.9,7.0,-0.099999905,4399,8496,686,Apr 2009 - Jun 2009,Sep 2008 - Sep 2010
Koufuku Graffiti,6.79,6.89,-0.099999905,4896,10014,1514,Jan 2015 - Mar 2015,Jan 2012 - Sep 2016
Kore wa Zombie desu ka?,7.35,7.45,-0.099999905,2300,3235,7614,Jan 2011 - Mar 2011,Jan 2010 - Nov 2013
Full Moon wo Sagashite,7.94,8.04,-0.099999905,661,661,36508,Apr 2002 - Mar 2003,Dec 2001 - Apr 2004
Boys Be...,6.4,6.5,-0.099999905,6924,14848,1545,Apr 2000 - Jul 2000,Jul 1991 - Oct 1996
Fight Ippatsu! Juuden-chan!!,6.61,6.71,-0.099999905,5833,12515,1535,Jun 2009 - Sep 2009,Nov 2005 - Oct 2013
Ookami-san to Shichinin no Nakama-tachi,7.17,7.27,-0.099999905,3227,4937,2683,Jul 2010 - Sep 2010,Feb 2010 - Aug 2012
Kimi ga Aruji de Shitsuji ga Ore de,7.11,7.21,-0.099999905,3510,5717,1477,Jan 2008 - Mar 2008,Oct 2007 - Apr 2009
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.82,7.92,-0.099999905,884,897,9892,Jan 2023 - Mar 2023,Jan 2022 - Dec 2023
Dantalian no Shoka,7.23,7.33,-0.099999905,2879,4302,3765,Jul 2011 - Oct 2011,Mar 2010 - Jul 2012
Kage no Jitsuryokusha ni Naritakute!,8.32,8.42,-0.10000038,232,182,18866,Oct 2022 - Feb 2023,Nov 2018 - Dec 2023
Kishin Douji Zenki,6.95,7.05,-0.10000038,4216,7754,459,Jan 1995 - Dec 1995,Nov 1992 - Aug 1996
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,6.47,6.57,-0.10000038,6539,14087,7934,Jul 2021 - Sep 2021,Dec 2018 - Dec 2023
Onegai☆Twins,6.82,6.93,-0.10999966,4769,9431,3123,Jul 2003 - Oct 2003,Sep 2005 - Sep 2005
Croket!,6.88,6.99,-0.10999966,4519,8674,339,Apr 2003 - Mar 2005,Apr 2000 - Nov 2006
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",6.28,6.39,-0.10999966,7531,15827,7154,Apr 2022 - Jun 2022,Feb 2019 - Jul 2022
Attacker You!,6.74,6.85,-0.11000013,5141,10573,482,Apr 1984 - Jun 1985,Apr 1984 - Jun 1985
Toriko,7.52,7.63,-0.11000013,1644,2003,44873,Apr 2011 - Mar 2014,May 2008 - Nov 2016
Kokkoku,6.99,7.1,-0.11000013,4073,7045,3453,Jan 2018 - Mar 2018,May 2008 - Sep 2014
Hataraki Man,7.0,7.11,-0.11000013,4042,6956,1721,Oct 2006 - Dec 2006,Nov 2004 - Apr 2009
Konohana Kitan,7.49,7.6,-0.11000013,1761,2181,2712,Oct 2017 - Dec 2017,Dec 2014 - Dec 2023
Nami yo Kiitekure,7.35,7.46,-0.11000013,2302,3127,5383,Apr 2020 - Jun 2020,Jul 2014 - Dec 2023
Kuzu no Honkai,7.14,7.25,-0.11000013,3369,5249,50887,Jan 2017 - Mar 2017,Sep 2012 - May 2018
Ao no Exorcist,7.5,7.61,-0.11000013,1710,2111,2812,Apr 2011 - Oct 2011,Sep 2011 - Dec 2023
Black Blood Brothers,7.1,7.21,-0.11000013,3554,5657,773,Sep 2006 - Nov 2006,Jul 2004 - May 2006
Zipang,7.48,7.59,-0.11000013,1786,2229,3106,Oct 2004 - Apr 2005,Jul 2000 - Nov 2009
Medaka Box,7.02,7.13,-0.11000013,3937,6645,8418,Apr 2012 - Jun 2012,Feb 2009 - Feb 2009
MÄR,7.25,7.36,-0.11000013,2809,4005,15409,Apr 2005 - Mar 2007,May 2003 - Jul 2006
Made in Abyss,8.66,8.77,-0.11000061,62,39,150446,Jul 2017 - Sep 2017,Oct 2012 - Dec 2023
Jigokuraku,8.19,8.3,-0.11000061,365,289,139598,Apr 2023 - Jul 2023,Jan 2018 - Jan 2021
Mob Psycho 100,8.49,8.61,-0.119999886,130,82,110211,Jul 2016 - Sep 2016,Apr 2012 - Dec 2017
Natsuyuki Rendezvous,7.27,7.39,-0.119999886,2685,3661,4933,Jul 2012 - Sep 2012,Jun 2009 - Dec 2011
Luger Code 1951,6.42,6.54,-0.119999886,6806,14410,1173,Oct 2016 - Oct 2016,Dec 2015 - Feb 2016
Log Horizon,7.92,8.04,-0.119999886,697,670,13708,Oct 2013 - Mar 2014,Apr 2010 - Dec 2023
Detective Conan,8.17,8.29,-0.119999886,379,310,56869,Jan 1996 - Dec 2023,Jan 1994 - Dec 2023
Sakura Taisen,6.86,6.98,-0.119999886,4614,8737,2074,Apr 2000 - Sep 2000,Jun 2002 - Dec 2008
Kannagi,7.28,7.4,-0.119999886,2644,3577,8781,Oct 2008 - Dec 2008,Dec 2005 - Jul 2017
Diamond no Ace,8.1,8.22,-0.119999886,457,391,21994,Oct 2013 - Mar 2015,May 2006 - Jul 2015
Hatsukoi Limited.,7.27,7.39,-0.119999886,2721,3708,14552,Apr 2009 - Jun 2009,Oct 2007 - May 2008
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6.5,6.62,-0.119999886,6427,13524,11880,Jul 2019 - Sep 2019,Nov 2017 - Dec 2020
Shakugan no Shana S,7.34,7.46,-0.119999886,2367,3129,444,Oct 2009 - Sep 2010,Jun 2006 - Nov 2012
Chibi Maruko-chan,7.61,7.73,-0.119999886,1364,1540,790,Jan 1990 - Sep 1992,Aug 1986 - Apr 2009
Tari Tari,7.29,7.41,-0.119999886,2611,3531,1852,Jul 2012 - Sep 2012,May 2012 - Oct 2012
Yuru Camp△,8.27,8.39,-0.119999886,276,210,16872,Jan 2018 - Mar 2018,May 2015 - Dec 2023
Onegai☆Teacher,7.11,7.23,-0.119999886,3519,5392,7071,Jan 2002 - Mar 2002,Sep 2001 - Dec 2002
Mamahaha no Tsurego ga Motokano datta,6.76,6.88,-0.119999886,5050,10259,8504,Jul 2022 - Sep 2022,May 2019 - Dec 2023
"Dakara Boku wa, H ga Dekinai.",6.55,6.67,-0.119999886,6127,13005,9723,Jul 2012 - Sep 2012,Nov 2010 - Sep 2013
Major 2nd,7.39,7.51,-0.12000036,2119,2760,2391,Apr 2018 - Sep 2018,Mar 2015 - Dec 2023
Tenchi Souzou Design-bu,7.16,7.28,-0.12000036,3241,4883,2827,Jan 2021 - Mar 2021,Feb 2017 - Dec 2023
Nakitai Watashi wa Neko wo Kaburu,7.34,7.47,-0.12999964,2352,3080,967,Jun 2020 - Jun 2020,May 2020 - Mar 2021
