"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
1607,Hidamari ga Kikoeru: Limit,342,Manga,"3",Oct 2016 - Dec 2019,6025,https://myanimelist.net/manga/112091/Hidamari_ga_Kikoeru__Limit,https://cdn.myanimelist.net/r/100x140/images/manga/2/240673.jpg?s=aec4e616d7cc0643ffd61b1b8a204a51,8.26,Oct 2016 - Dec 2019
1608,Kusuriya no Hitorigoto,167,Manga,?,May 2017 -,42063,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto,https://cdn.myanimelist.net/r/100x140/images/manga/3/201154.jpg?s=f8185216096514cab3bcddcadccc7d13,8.45,May 2017 - Dec 2023
1609,Monku no Tsukeyou ga Nai Love Comedy,11125,Manga,"4",Nov 2014 - Dec 2019,9929,https://myanimelist.net/manga/85059/Monku_no_Tsukeyou_ga_Nai_Love_Comedy,https://cdn.myanimelist.net/r/100x140/images/manga/2/188961.jpg?s=1e4d8622cc15b85ac9d8e7f2d722eee0,6.81,Nov 2014 - Dec 2019
1610,Nanatsu no Taizai: Hajimari wo Sasou Ame no Mori,11312,One-shot,?,Aug 2020 - Aug 2020,345,https://myanimelist.net/manga/138078/Nanatsu_no_Taizai__Hajimari_wo_Sasou_Ame_no_Mori,https://cdn.myanimelist.net/r/100x140/images/manga/3/254428.jpg?s=8e57d146654c0458801f16d7092fcaa5,6.8,Aug 2020 - Aug 2020
1611,Hime 100%,11909,Manga,"4",May 1987 - Sep 1988,300,https://myanimelist.net/manga/8649/Hime_100,https://cdn.myanimelist.net/r/100x140/images/manga/1/251279.jpg?s=f812ea3808d80555969f998007191519,6.75,May 1987 - Sep 1988
1612,Date A Live,7360,Manga,"1",Apr 2012 - Nov 2012,6303,https://myanimelist.net/manga/37163/Date_A_Live,https://cdn.myanimelist.net/r/100x140/images/manga/3/87499.jpg?s=430e524551f2e84f7a6e1de6ec4b1454,7.08,Apr 2012 - Nov 2012
1614,Usotsuki Engage,15119,Manga,"1",Nov 2012 - Feb 2013,3312,https://myanimelist.net/manga/51245/Usotsuki_Engage,https://cdn.myanimelist.net/r/100x140/images/manga/2/134203.jpg?s=b41c65dd9c021107987447455c183dac,6.48,Nov 2012 - Feb 2013
1616,Coral: Tenohira no Umi,10392,Manga,"5",Oct 2007 - Aug 2014,478,https://myanimelist.net/manga/26641/Coral__Tenohira_no_Umi,https://cdn.myanimelist.net/r/100x140/images/manga/2/171132.jpg?s=7012be42a1c8e28777d43557e4541da5,6.87,Oct 2007 - Aug 2014
1617,Marry My Husband,2575,Manhwa,?,Nov 2021 - Jan 2023,4995,https://myanimelist.net/manga/151165/Marry_My_Husband,https://cdn.myanimelist.net/r/100x140/images/manga/1/283609.jpg?s=6a775cb87a134bdeb4fa368efa734e0f,7.54,Nov 2021 - Jan 2023
1618,Wish: Tatta Hitotsu no Negaigoto,9124,Manga,"1",Oct 2004 - Aug 2005,597,https://myanimelist.net/manga/9266/Wish__Tatta_Hitotsu_no_Negaigoto,https://cdn.myanimelist.net/r/100x140/images/manga/1/177757.jpg?s=a39130cd3361e57b3e4dfad26359f1ac,6.96,Oct 2004 - Aug 2005
1620,Descended from Divinity,4402,Manhwa,?,Jun 2021 -,3483,https://myanimelist.net/manga/147847/Descended_from_Divinity,https://cdn.myanimelist.net/r/100x140/images/manga/1/262444.jpg?s=9e0939230009292e9a871df472198ca4,7.32,Jun 2021 - Dec 2023
1621,Fly High,8437,Manga,"1",Nov 1998 - Nov 1998,451,https://myanimelist.net/manga/4689/Fly_High,https://cdn.myanimelist.net/r/100x140/images/manga/2/5784.jpg?s=6841a7a3a36f8ed266f24af6d2385236,7.01,Nov 1998 - Nov 1998
1622,Kantai Collection: Itsuka Shizuka na Umi de,6705,Manga,"3",Oct 2013 - Jun 2016,682,https://myanimelist.net/manga/63713/Kantai_Collection__Itsuka_Shizuka_na_Umi_de,https://cdn.myanimelist.net/r/100x140/images/manga/1/146697.jpg?s=0bed98c0393452045c18c99f5464cab4,7.13,Oct 2013 - Jun 2016
1623,Kabushikigaisha Magi-Lumière,4396,Manga,?,Oct 2021 -,5953,https://myanimelist.net/manga/142224/Kabushikigaisha_Magi-Lumière,https://cdn.myanimelist.net/r/100x140/images/manga/1/255293.jpg?s=383a7804731ce0923409b074b15c3fa3,7.32,Oct 2021 - Dec 2023
1624,Soil,3174,Manga,"11",Mar 2004 - Nov 2010,6051,https://myanimelist.net/manga/7166/Soil,https://cdn.myanimelist.net/r/100x140/images/manga/5/26093.jpg?s=3153424276d522e0b93ce79ffb509b47,7.45,Mar 2004 - Nov 2010
