"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
7838,Eyeshield 21,155,Manga,"37",Jul 2002 - Jun 2009,73795,https://myanimelist.net/manga/43/Eyeshield_21,https://cdn.myanimelist.net/r/100x140/images/manga/2/165586.jpg?s=965ab0b6568c8c640f58e3f944a02919,8.47,Jul 2002 - Jun 2009
7839,Kodomo Otona,6422,Manga,"1",Sep 2015 - May 2016,321,https://myanimelist.net/manga/125247/Kodomo_Otona,https://cdn.myanimelist.net/r/100x140/images/manga/1/228897.jpg?s=e4d897d2709f799fbc9e5c146d60c075,7.15,Sep 2015 - May 2016
7840,Ankoku Shinwa,17074,Manga,"1",May 1976 - Jun 1976,666,https://myanimelist.net/manga/67081/Ankoku_Shinwa,https://cdn.myanimelist.net/r/100x140/images/manga/2/116305.jpg?s=3ae1567f5cade96907fd1f6b9abcaf42,6.11,May 1976 - Jun 1976
7841,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,1081,Manga,?,Dec 2021 -,2094,https://myanimelist.net/manga/142246/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen,https://cdn.myanimelist.net/r/100x140/images/manga/2/263020.jpg?s=640dbfb7a85711c2409261e9b669f23c,7.85,Dec 2021 - Dec 2023
7842,Tada Arifureteita.,6083,Doujinshi,"1",Nov 2020 - Nov 2020,1468,https://myanimelist.net/manga/137634/Tada_Arifureteita,https://cdn.myanimelist.net/r/100x140/images/manga/1/246510.jpg?s=4763df7d9b9d5e9513e24e2d66aa5a36,7.18,Nov 2020 - Nov 2020
7843,Oshi ga Kounin Stalker ni Narimashita,15895,Manga,?,Jul 2019 -,1014,https://myanimelist.net/manga/131388/Oshi_ga_Kounin_Stalker_ni_Narimashita,https://cdn.myanimelist.net/r/100x140/images/manga/1/237587.jpg?s=2999963fe89f7efc7d1767d54247738c,6.38,Jul 2019 - Dec 2023
7844,Mahoutsukai no Yoru,707,Light-Novel,"1",Apr 2012 - Apr 2012,4396,https://myanimelist.net/manga/26027/Mahoutsukai_no_Yoru,https://cdn.myanimelist.net/r/100x140/images/manga/1/63637.jpg?s=33b258c3e796a000d98421aaa5c9b91e,8.01,Apr 2012 - Apr 2012
7845,Toaru Majutsu no Index: Road to Endymion,4393,Light-Novel,"1",Feb 2013 - Feb 2013,1434,https://myanimelist.net/manga/48745/Toaru_Majutsu_no_Index__Road_to_Endymion,https://cdn.myanimelist.net/r/100x140/images/manga/1/85901.jpg?s=040413f82566c8f795c7e790641f67c8,7.32,Feb 2013 - Feb 2013
7847,Log Horizon: Nyanta Hanchou Shiawase no Recipe,8614,Manga,"6",Dec 2012 - Mar 2018,819,https://myanimelist.net/manga/64799/Log_Horizon__Nyanta_Hanchou_Shiawase_no_Recipe,https://cdn.myanimelist.net/r/100x140/images/manga/2/110679.jpg?s=0cde843898a447e671fe13ecef33607e,6.99,Dec 2012 - Mar 2018
7848,Daytime Star,387,Manhwa,?,Jun 2021 - Jan 2023,3733,https://myanimelist.net/manga/149493/Daytime_Star,https://cdn.myanimelist.net/r/100x140/images/manga/2/265157.jpg?s=27e03b61f20666c0b5d53c920b67f98d,8.22,Jun 2021 - Jan 2023
7849,Fragtime,7553,Manga,"2",Mar 2013 - Sep 2014,13178,https://myanimelist.net/manga/57401/Fragtime,https://cdn.myanimelist.net/r/100x140/images/manga/3/118505.jpg?s=659ab8b8155430462ee37a150e6e113b,7.07,Mar 2013 - Sep 2014
7850,Amagami: Dreamy Forever,10832,Manga,"1",Dec 2010 - Jun 2011,1418,https://myanimelist.net/manga/28115/Amagami__Dreamy_Forever,https://cdn.myanimelist.net/r/100x140/images/manga/3/89629.jpg?s=772d81630569a4f073d38b9fa72fc314,6.84,Dec 2010 - Jun 2011
7851,Gyakuten Honey,7145,Manga,"1",Jun 2001 - Jul 2009,1493,https://myanimelist.net/manga/21301/Gyakuten_Honey,https://cdn.myanimelist.net/r/100x140/images/manga/3/137965.jpg?s=1b9f7164f095f84df37fea1642a6dfce,7.09,Jun 2001 - Jul 2009
7852,Primo Piatto,15384,Manga,?,May 2016 - Jun 2016,573,https://myanimelist.net/manga/102012/Primo_Piatto,https://cdn.myanimelist.net/r/100x140/images/manga/3/184736.jpg?s=6018636e6f593ef24566d30356caf814,6.45,May 2016 - Jun 2016
7853,Chicchai Toki kara Suki dakedo,6677,Manga,"11",Jun 2013 - Mar 2017,5582,https://myanimelist.net/manga/53609/Chicchai_Toki_kara_Suki_dakedo,https://cdn.myanimelist.net/r/100x140/images/manga/1/195181.jpg?s=b8c38b40a32a0b463ca851a6c650a9ed,7.13,Jun 2013 - Mar 2017
7854,Koukou Kyuuji Zawa-san,6272,Manga,"12",Aug 2008 - Feb 2013,953,https://myanimelist.net/manga/19256/Koukou_Kyuuji_Zawa-san,https://cdn.myanimelist.net/r/100x140/images/manga/2/118405.jpg?s=e351433d684e04b2d3569ff8fbea90a0,7.16,Aug 2008 - Feb 2013
7855,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,206,Light-Novel,"1",Mar 2015 - Mar 2015,12530,https://myanimelist.net/manga/87953/Shousetsu_Akatsuki_no_Yona__Onaji_Tsuki_no_Shita_de,https://cdn.myanimelist.net/r/100x140/images/manga/2/153038.jpg?s=20160ac5c717248842838dda3a14bdb9,8.4,Mar 2015 - Mar 2015
7856,"1-nen C-gumi Yoshida-gakari",12491,One-shot,?,Jan 2011 - Jan 2011,636,https://myanimelist.net/manga/47637/1-nen_C-gumi_Yoshida-gakari,https://cdn.myanimelist.net/r/100x140/images/manga/1/83989.jpg?s=0fe48f72ae6f9cd33bf0fa4dda54e2b2,6.71,Jan 2011 - Jan 2011
7857,Masaka-dou e Irasshai,7869,Manga,?,Mar 2012 - Apr 2015,2372,https://myanimelist.net/manga/46238/Masaka-dou_e_Irasshai,https://cdn.myanimelist.net/r/100x140/images/manga/3/81742.jpg?s=9427d37043fab443f849671a06315abf,7.05,Mar 2012 - Apr 2015
7858,Majo no Shinzou,1480,Manga,"8",Mar 2012 - Jan 2016,3334,https://myanimelist.net/manga/35313/Majo_no_Shinzou,https://cdn.myanimelist.net/r/100x140/images/manga/2/104305.jpg?s=1155b829b8d3cbdfcbc8fd72ff4d87e1,7.74,Mar 2012 - Jan 2016
7859,Karasuma Kyouko no Jikenbo,4824,Manga,"10",Oct 2002 - Feb 2012,1935,https://myanimelist.net/manga/1082/Karasuma_Kyouko_no_Jikenbo,https://cdn.myanimelist.net/r/100x140/images/manga/1/168516.jpg?s=a1dbac5ad77f5a509fcb77fbed3b40c6,7.28,Oct 2002 - Feb 2012
7860,"Akuyaku Reijou, Cecilia Sylvie wa Shinitakunai node Dansou suru Koto ni Shita.",10811,Manga,?,May 2020 -,1738,https://myanimelist.net/manga/130130/Akuyaku_Reijou_Cecilia_Sylvie_wa_Shinitakunai_node_Dansou_suru_Koto_ni_Shita,https://cdn.myanimelist.net/r/100x140/images/manga/1/235970.jpg?s=afa0c1056df474e3f583081c4bc44898,6.84,May 2020 - Dec 2023
7861,Watanuki-san ni wa Boku ga Tarinai,10430,Manga,"6",May 2014 - Oct 2017,2969,https://myanimelist.net/manga/74437/Watanuki-san_ni_wa_Boku_ga_Tarinai,https://cdn.myanimelist.net/r/100x140/images/manga/2/151711.jpg?s=2b1bfa3bc51206852dcf025e13c46308,6.86,May 2014 - Oct 2017
7862,Mahouka Koukou no Rettousei: Nyuugaku-hen,1422,Manga,"4",Dec 2011 - Sep 2013,17856,https://myanimelist.net/manga/33699/Mahouka_Koukou_no_Rettousei__Nyuugaku-hen,https://cdn.myanimelist.net/r/100x140/images/manga/3/120981.jpg?s=cb844cd19c2a24656a1f8c703a838864,7.75,Dec 2011 - Sep 2013
7864,Lamento - Beyond the Void -,5126,Manga,?,Apr 2007 -,1831,https://myanimelist.net/manga/12145/Lamento_-_Beyond_the_Void_-,https://cdn.myanimelist.net/r/100x140/images/manga/1/21441.jpg?s=47f24dc9795aafaa9abfb9a15296c1bc,7.26,Apr 2007 - Dec 2023
7865,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,141,Manga,"6",Oct 2010 - Nov 2012,13440,https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch,https://cdn.myanimelist.net/r/100x140/images/manga/2/273941.jpg?s=4522f780d3e061481eb9c63aff2d8c89,8.5,Oct 2010 - Nov 2012
7866,Kiriko,17681,Manga,"1",Aug 2014 - Dec 2014,5720,https://myanimelist.net/manga/87670/Kiriko,https://cdn.myanimelist.net/r/100x140/images/manga/2/152620.jpg?s=b54ec7c30af8c5e79fbdd7ec3b1a46c4,5.64,Aug 2014 - Dec 2014
7867,Kuro Hakubutsukan: Ghost and Lady,2413,Manga,"2",Nov 2014 - Jun 2015,2313,https://myanimelist.net/manga/91754/Kuro_Hakubutsukan__Ghost_and_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/2/161362.jpg?s=f381486f5b80fbad6a6023f5578c7c3e,7.56,Nov 2014 - Jun 2015
7868,Fate/stay night: Comic Battle,9127,Manga,"2",Aug 2004 - Dec 2004,1330,https://myanimelist.net/manga/10491/Fate_stay_night__Comic_Battle,https://cdn.myanimelist.net/r/100x140/images/manga/3/113145.jpg?s=ed9815b0e7a9f7cdb0858fba71326766,6.96,Aug 2004 - Dec 2004
7870,Strawberry Panic,2680,Light-Novel,"3",Mar 2006 - Dec 2006,2957,https://myanimelist.net/manga/4974/Strawberry_Panic,https://cdn.myanimelist.net/r/100x140/images/manga/3/6182.jpg?s=c765906ba33bb865547efafa22bf8cc4,7.52,Mar 2006 - Dec 2006
7871,"Hana Sakasu Te, Tsubomi no Kimi",13350,One-shot,?,Oct 2008 - Oct 2008,1397,https://myanimelist.net/manga/16571/Hana_Sakasu_Te_Tsubomi_no_Kimi,https://cdn.myanimelist.net/r/100x140/images/manga/2/24466.jpg?s=9474b7857da05e568ea15d6fd58403b6,6.64,Oct 2008 - Oct 2008
7872,"Moto Saikyou no Kenshi wa, Isekai Mahou ni Akogareru",11550,Light-Novel,?,Sep 2017 -,1005,https://myanimelist.net/manga/108595/Moto_Saikyou_no_Kenshi_wa_Isekai_Mahou_ni_Akogareru,https://cdn.myanimelist.net/r/100x140/images/manga/3/207427.jpg?s=348dd9bbc9bcb23f5a93138234118e10,6.78,Sep 2017 - Dec 2023
7874,I'm All Out of Health!,8906,Manhwa,?,Jul 2021 -,1139,https://myanimelist.net/manga/148705/Im_All_Out_of_Health,https://cdn.myanimelist.net/r/100x140/images/manga/3/264038.jpg?s=2b5c0d8048105197c5390de0fe589e1d,6.97,Jul 2021 - Dec 2023
7875,Orenchi no Maid-san,3973,Manga,"7",Mar 2015 - Oct 2020,4846,https://myanimelist.net/manga/101234/Orenchi_no_Maid-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/190610.jpg?s=ee72dbb50000a112ba92dff072a43c91,7.36,Mar 2015 - Oct 2020
7876,Monogatari Series: Monster Season,85,Light-Novel,"6",Jul 2017 - Aug 2021,6519,https://myanimelist.net/manga/108177/Monogatari_Series__Monster_Season,https://cdn.myanimelist.net/r/100x140/images/manga/1/198051.jpg?s=4695d49325b4b722b669f662c9137b37,8.6,Jul 2017 - Aug 2021
7877,Steins;Gate: Drops,6091,Manga,"1",Aug 2011 - Feb 2012,969,https://myanimelist.net/manga/74343/Steins_Gate__Drops,https://cdn.myanimelist.net/r/100x140/images/manga/2/128919.jpg?s=931060fa62f63d0287f53a968b8db29b,7.18,Aug 2011 - Feb 2012
7879,Leadale no Daichi nite,5296,Manga,?,Jul 2019 -,3105,https://myanimelist.net/manga/130793/Leadale_no_Daichi_nite,https://cdn.myanimelist.net/r/100x140/images/manga/3/236456.jpg?s=0dd351743440751c0d6dce86ad75a720,7.24,Jul 2019 - Dec 2023
7880,Joousama no Shiro Usagi,8834,Manga,"3",Aug 2011 - Jun 2012,870,https://myanimelist.net/manga/29041/Joousama_no_Shiro_Usagi,https://cdn.myanimelist.net/r/100x140/images/manga/2/261722.jpg?s=e06d2fde33043421f8c3e31905d4cffc,6.98,Aug 2011 - Jun 2012
7881,Marginal Operation,2836,Manga,"16",May 2013 - Jan 2021,4662,https://myanimelist.net/manga/57997/Marginal_Operation,https://cdn.myanimelist.net/r/100x140/images/manga/1/174841.jpg?s=a7393f02467c1ee7222d92c437b48502,7.5,May 2013 - Jan 2021
7882,Amai♥Jouji,16775,Manga,"1",Oct 2006 - Oct 2006,1304,https://myanimelist.net/manga/4525/Amai♥Jouji,https://cdn.myanimelist.net/r/100x140/images/manga/1/90537.jpg?s=52fd14fac86dc503bbcca7c393256f56,6.2,Oct 2006 - Oct 2006
7883,Shuukyuu Shoujo,9772,Manga,"10",Nov 2008 - Sep 2014,3689,https://myanimelist.net/manga/20874/Shuukyuu_Shoujo,https://cdn.myanimelist.net/r/100x140/images/manga/1/188872.jpg?s=e777794ce2d28d4c489283b40bf10a31,6.91,Nov 2008 - Sep 2014
7885,Oni ga Warau,15350,One-shot,?,Dec 2013 - Dec 2013,228,https://myanimelist.net/manga/65477/Oni_ga_Warau,https://cdn.myanimelist.net/r/100x140/images/manga/2/112287.jpg?s=85dafd9beec307c4937787b4285dcb12,6.45,Dec 2013 - Dec 2013
7886,Roxana,974,Manhwa,?,Jan 2021 -,6846,https://myanimelist.net/manga/147454/Roxana,https://cdn.myanimelist.net/r/100x140/images/manga/2/261513.jpg?s=d1dc9d1a29253b104f9cf9267dc76eff,7.89,Jan 2021 - Dec 2023
7887,Romance 101,656,Manhwa,"11",Mar 2018 - May 2021,4155,https://myanimelist.net/manga/131799/Romance_101,https://cdn.myanimelist.net/r/100x140/images/manga/3/238367.jpg?s=621da44b0dff6cbb92313f58353fdd60,8.05,Mar 2018 - May 2021
7888,Honey*Buddy,10736,Manga,"1",Feb 2014 - Apr 2014,2826,https://myanimelist.net/manga/78339/HoneyBuddy,https://cdn.myanimelist.net/r/100x140/images/manga/1/135725.jpg?s=550466fc6b2d2d63dd51e91ad0b97f92,6.84,Feb 2014 - Apr 2014
7889,Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue,759,Manga,?,Sep 2012 -,9915,https://myanimelist.net/manga/45447/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru__Monologue,https://cdn.myanimelist.net/r/100x140/images/manga/3/188845.jpg?s=3f1cfb9cf6ac532363f3e20f8aace69e,7.98,Sep 2012 - Dec 2023
7890,A Kiss to the Prince,3356,Manhwa,"5",Aug 2006 - Oct 2007,7609,https://myanimelist.net/manga/4487/A_Kiss_to_the_Prince,https://cdn.myanimelist.net/r/100x140/images/manga/3/261174.jpg?s=52eefc63a12cb967a7021b1cf8425f7c,7.43,Aug 2006 - Oct 2007
7891,Doutei Zetsumetsu Rettou,17697,Manga,?,Feb 2019 -,3659,https://myanimelist.net/manga/124083/Doutei_Zetsumetsu_Rettou,https://cdn.myanimelist.net/r/100x140/images/manga/2/226281.jpg?s=cef415ea08d07cdea474832935a37e1e,5.62,Feb 2019 - Dec 2023
7892,Ohana Holoholo,1850,Manga,"6",Sep 2008 - Dec 2013,3250,https://myanimelist.net/manga/24801/Ohana_Holoholo,https://cdn.myanimelist.net/r/100x140/images/manga/2/175860.jpg?s=197daa3bb5fc200960178383c4111a6f,7.66,Sep 2008 - Dec 2013
7893,Kyuuketsuki Marguerite to Kuenai Gokinjo,7062,One-shot,?,Aug 2018 - Aug 2018,797,https://myanimelist.net/manga/118252/Kyuuketsuki_Marguerite_to_Kuenai_Gokinjo,https://cdn.myanimelist.net/r/100x140/images/manga/2/225391.jpg?s=80dec64bbe71bfddda94b8ae29f2306f,7.1,Aug 2018 - Aug 2018
7894,Rose Guns Days: Season 2,10208,Manga,"3",Jan 2013 - Mar 2014,515,https://myanimelist.net/manga/66345/Rose_Guns_Days__Season_2,https://cdn.myanimelist.net/r/100x140/images/manga/1/115989.jpg?s=dd48fc432a25c60ded7fb98bdfa94abf,6.88,Jan 2013 - Mar 2014
7895,Nickelodeon,1642,Manga,"3",Sep 2010 - Aug 2014,12903,https://myanimelist.net/manga/35673/Nickelodeon,https://cdn.myanimelist.net/r/100x140/images/manga/1/64959.jpg?s=c301916b3fd3d4ddaa6290183fbd3faa,7.7,Sep 2010 - Aug 2014
7896,"Hachi-nan tte, Sore wa Nai deshou!",13857,Manga,?,Apr 2015 -,11449,https://myanimelist.net/manga/94181/Hachi-nan_tte_Sore_wa_Nai_deshou,https://cdn.myanimelist.net/r/100x140/images/manga/3/167068.jpg?s=f1e27c284796b223d6ba365392c2fef7,6.6,Apr 2015 - Dec 2023
7897,Nogizaka Haruka no Himitsu,4203,Light-Novel,"16",Oct 2004 - Jul 2012,1064,https://myanimelist.net/manga/9072/Nogizaka_Haruka_no_Himitsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/219849.jpg?s=6859d1b323ccb9f2211d7b5fd566799d,7.34,Oct 2004 - Jul 2012
7898,Shadows House,222,Manga,?,Sep 2018 -,36169,https://myanimelist.net/manga/115730/Shadows_House,https://cdn.myanimelist.net/r/100x140/images/manga/2/215750.jpg?s=8b00fa2c30ac37208e60a6e11d08dc01,8.38,Sep 2018 - Dec 2023
7899,Waltz,6135,Manga,"6",Oct 2009 - Feb 2012,1113,https://myanimelist.net/manga/31309/Waltz,https://cdn.myanimelist.net/r/100x140/images/manga/2/201258.jpg?s=bd27cbe24bcf32e4104983339659e3f5,7.17,Oct 2009 - Feb 2012
7900,"It Was a Mistake, Grand Duke!",13825,Manhwa,?,Aug 2021 -,897,https://myanimelist.net/manga/148561/It_Was_a_Mistake_Grand_Duke,https://cdn.myanimelist.net/r/100x140/images/manga/2/263587.jpg?s=cd3f5cfee162fd522ed8af159298d8a1,6.6,Aug 2021 - Dec 2023
7901,Trinity Blood,1214,Manga,"21",Aug 2003 - Apr 2018,17068,https://myanimelist.net/manga/556/Trinity_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/1/164661.jpg?s=d80ce5f06c3d820c83f8ac6cab9e0eed,7.81,Aug 2003 - Apr 2018
7902,Yumemiru Danshi wa Genjitsushugisha,14129,Manga,?,Mar 2021 -,2085,https://myanimelist.net/manga/148476/Yumemiru_Danshi_wa_Genjitsushugisha,https://cdn.myanimelist.net/r/100x140/images/manga/3/263462.jpg?s=d70fa65fe409731c4546a557d7d61d74,6.57,Mar 2021 - Dec 2023
7903,Koisuru Sugar Cotton,5963,One-shot,?,Apr 2011 - Apr 2011,876,https://myanimelist.net/manga/64823/Koisuru_Sugar_Cotton,https://cdn.myanimelist.net/r/100x140/images/manga/2/110721.jpg?s=5fcd751ffd0f1d92ec95fea84ceec836,7.19,Apr 2011 - Apr 2011
7904,The Wolf & Red Riding Hood,9027,Manhwa,?,Aug 2018 - Oct 2019,663,https://myanimelist.net/manga/147913/The_Wolf___Red_Riding_Hood,https://cdn.myanimelist.net/r/100x140/images/manga/3/262518.jpg?s=bab3226a286b6ceef84f37bf60ec184b,6.96,Aug 2018 - Oct 2019
7905,Zi Bu Yu,5653,Manhua,"3",Sep 2007 - Oct 2010,783,https://myanimelist.net/manga/20988/Zi_Bu_Yu,https://cdn.myanimelist.net/r/100x140/images/manga/1/165398.jpg?s=ce8bac3ef7d0fe3eeb05f0344f15e46f,7.21,Sep 2007 - Oct 2010
7906,Akai Kiba,17776,Doujinshi,"9",Aug 2002 - Feb 2014,3034,https://myanimelist.net/manga/4642/Akai_Kiba,https://cdn.myanimelist.net/r/100x140/images/manga/1/272717.jpg?s=64894b32d50c0a6d058266e920608b86,5.4,Aug 2002 - Feb 2014
7907,Kokushi Musou!!,12388,Manga,"4",Jul 2013 - May 2014,482,https://myanimelist.net/manga/59183/Kokushi_Musou,https://cdn.myanimelist.net/r/100x140/images/manga/2/127233.jpg?s=06b7580538387165b269a957e1543849,6.72,Jul 2013 - May 2014
7908,Kindaichi Shounen no Jikenbo: 20-shuunen Kinen Series,4909,Manga,"5",Mar 2012 - Apr 2013,458,https://myanimelist.net/manga/90585/Kindaichi_Shounen_no_Jikenbo__20-shuunen_Kinen_Series,https://cdn.myanimelist.net/r/100x140/images/manga/2/158939.jpg?s=5878df0a5f7cbe4008acb85e9dae14f4,7.28,Mar 2012 - Apr 2013
7910,Takkoku!!!,6556,Manga,"6",Mar 2009 - Jan 2011,2004,https://myanimelist.net/manga/13889/Takkoku,https://cdn.myanimelist.net/r/100x140/images/manga/2/173272.jpg?s=70a2866d1861f499527612a0f2827b69,7.14,Mar 2009 - Jan 2011
7911,Subtle Disaster,6407,Manhwa,"4",Aug 2014 - Jun 2015,1010,https://myanimelist.net/manga/94576/Subtle_Disaster,https://cdn.myanimelist.net/r/100x140/images/manga/3/174116.jpg?s=734aa068ef6057792208162a742bf1a9,7.15,Aug 2014 - Jun 2015
7912,Mofu Men,15211,Manga,"1",Jul 2012 - May 2013,507,https://myanimelist.net/manga/45473/Mofu_Men,https://cdn.myanimelist.net/r/100x140/images/manga/4/91265.jpg?s=95a3db057881d0853622260ba4b00c05,6.47,Jul 2012 - May 2013
7913,Papa no Iukoto wo Kikinasai!: Miu-sama no Iutoori,10234,Manga,"1",Aug 2011 - Dec 2011,1051,https://myanimelist.net/manga/28553/Papa_no_Iukoto_wo_Kikinasai__Miu-sama_no_Iutoori,https://cdn.myanimelist.net/r/100x140/images/manga/3/177224.jpg?s=5d7d809cdeff32e31f381882b06971c4,6.88,Aug 2011 - Dec 2011
7914,Zankoku na Kami ga Shihai suru,433,Manga,"17",May 1992 - May 2001,8993,https://myanimelist.net/manga/8652/Zankoku_na_Kami_ga_Shihai_suru,https://cdn.myanimelist.net/r/100x140/images/manga/2/155732.jpg?s=3a928440510c02e4e78276f2362c7d26,8.18,May 1992 - May 2001
7915,Komori-san wa Kotowarenai!,6204,Manga,?,Feb 2012 -,4890,https://myanimelist.net/manga/65317/Komori-san_wa_Kotowarenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/188964.jpg?s=0f2c554fe1cb1e76a5c07bd49a872350,7.17,Feb 2012 - Dec 2023
7916,Zero no Tsukaima Gaiden: Tabitha no Bouken,5420,Manga,"5",Oct 2007 - May 2010,1665,https://myanimelist.net/manga/13000/Zero_no_Tsukaima_Gaiden__Tabitha_no_Bouken,https://cdn.myanimelist.net/r/100x140/images/manga/3/173855.jpg?s=c8993efd57d6dc2bef56ac8b9923456d,7.23,Oct 2007 - May 2010
7917,Uchi no Pii-chan,15541,One-shot,?,Aug 2018 - Aug 2018,429,https://myanimelist.net/manga/120454/Uchi_no_Pii-chan,https://cdn.myanimelist.net/r/100x140/images/manga/1/230432.jpg?s=b1f7e56d0563f97002908fcae5b93c2b,6.43,Aug 2018 - Aug 2018
7918,Mujintou de Elf to Kyoudou Seikatsu @comic,16738,Manga,?,Jan 2019 -,2037,https://myanimelist.net/manga/120122/Mujintou_de_Elf_to_Kyoudou_Seikatsu_comic,https://cdn.myanimelist.net/r/100x140/images/manga/1/227896.jpg?s=fcfa6288edcc63a5260e527127064b33,6.21,Jan 2019 - Dec 2023
7919,Ikumen☆After,1701,Manga,"2",Nov 2010 - Apr 2014,2211,https://myanimelist.net/manga/27047/Ikumen☆After,https://cdn.myanimelist.net/r/100x140/images/manga/3/71155.jpg?s=daea3a70a3fc407b2b1d69a7cd912607,7.69,Nov 2010 - Apr 2014
7920,Duranki,7068,Manga,"1",Sep 2019 - May 2020,8303,https://myanimelist.net/manga/121329/Duranki,https://cdn.myanimelist.net/r/100x140/images/manga/1/253644.jpg?s=62414975c80f5880b527ebe56e7cd6e8,7.1,Sep 2019 - May 2020
7921,Homeless Tensei: Isekai de Jiyuu Sugiru Jikyuu Jisoku Seikatsu,17236,Manga,?,Oct 2018 -,2779,https://myanimelist.net/manga/119105/Homeless_Tensei__Isekai_de_Jiyuu_Sugiru_Jikyuu_Jisoku_Seikatsu,https://cdn.myanimelist.net/r/100x140/images/manga/2/224890.jpg?s=215c16a152c6b215019a2aecd63d6917,6.04,Oct 2018 - Dec 2023
7923,Saint Seiya: Episode Zero,15888,Manga,?,Dec 2017 - Feb 2018,982,https://myanimelist.net/manga/110898/Saint_Seiya__Episode_Zero,https://cdn.myanimelist.net/r/100x140/images/manga/1/204687.jpg?s=6c5fa7c4e2926d4af06314d10c6fd477,6.38,Dec 2017 - Feb 2018
7924,Coulomb Fille,5092,Manga,"3",Jan 2013 - Feb 2014,1457,https://myanimelist.net/manga/63673/Coulomb_Fille,https://cdn.myanimelist.net/r/100x140/images/manga/3/129681.jpg?s=69f222d703c1bc1781a2083e057dec5e,7.26,Jan 2013 - Feb 2014
7925,Kacchu no Senshi Gamu!,10549,Manga,"2",Jul 1988 - Nov 1988,405,https://myanimelist.net/manga/7197/Kacchu_no_Senshi_Gamu,https://cdn.myanimelist.net/r/100x140/images/manga/3/176054.jpg?s=dd98af371ecf22691c41a1c78e4ef878,6.86,Jul 1988 - Nov 1988
7926,Tenrou no Avalon,12278,Manga,"4",Mar 2018 - Feb 2020,867,https://myanimelist.net/manga/119133/Tenrou_no_Avalon,https://cdn.myanimelist.net/r/100x140/images/manga/1/217090.jpg?s=fece27f1eb73b4fb37c47b73f281cd96,6.72,Mar 2018 - Feb 2020
7927,Boku no Hero Academia: Deku & Bakugou:Rising,11787,Manga,?,Dec 2019 - Dec 2019,1700,https://myanimelist.net/manga/123359/Boku_no_Hero_Academia__Deku___Bakugou_Rising,https://cdn.myanimelist.net/r/100x140/images/manga/3/227651.jpg?s=1e6af1692cb4d55a0fe474e01878cec6,6.76,Dec 2019 - Dec 2019
7928,Miharashi-sou no 6-nin no Hanayome,16622,Manga,"2",Oct 2019 - Apr 2021,1181,https://myanimelist.net/manga/124034/Miharashi-sou_no_6-nin_no_Hanayome,https://cdn.myanimelist.net/r/100x140/images/manga/3/229617.jpg?s=2ae51650d383b6cbef325cf5b3b2a217,6.24,Oct 2019 - Apr 2021
7929,Sakai no Musume: Cat in the Car,9568,Manga,"1",Dec 2013 - Apr 2015,394,https://myanimelist.net/manga/92438/Sakai_no_Musume__Cat_in_the_Car,https://cdn.myanimelist.net/r/100x140/images/manga/2/164074.jpg?s=d04550b4d2ab9d81167ccd1f1ec2fd02,6.92,Dec 2013 - Apr 2015
7930,Little Busters! The 4-koma,1681,Manga,"4",Jan 2006 - Jan 2010,1623,https://myanimelist.net/manga/1222/Little_Busters_The_4-koma,https://cdn.myanimelist.net/r/100x140/images/manga/2/142719.jpg?s=86544d56574499d376e862bc686415c4,7.69,Jan 2006 - Jan 2010
7932,"Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi toshite S-Rank Party kara Tsuihou sareta Kaifuku Majutsushi, Suterareta Saki de Saikyou no Shinryuu wo Fukkatsu sasete Shimau",11973,Manga,?,Sep 2021 -,2735,https://myanimelist.net/manga/144291/Ryuu_to_Ayumu_Nariagari_Boukensha-dou__Youzumi_toshite_S-Rank_Party_kara_Tsuihou_sareta_Kaifuku_Majutsushi_Suterareta_Saki_de_Saikyou_no_Shinryuu_wo_Fukkatsu_sasete_Shimau,https://cdn.myanimelist.net/r/100x140/images/manga/1/256656.jpg?s=5784bedcc6454dbc16ee0769308eff4c,6.75,Sep 2021 - Dec 2023
7933,Darling Only You!,4853,One-shot,?,Feb 2008 - Feb 2008,2986,https://myanimelist.net/manga/12423/Darling_Only_You,https://cdn.myanimelist.net/r/100x140/images/manga/3/17213.jpg?s=6c4fd9b67dea9effa4d8f2cfe3a3899e,7.28,Feb 2008 - Feb 2008
7935,Yami no Alexandra,9887,Manga,"4",Apr 1995 - Jun 1996,424,https://myanimelist.net/manga/16202/Yami_no_Alexandra,https://cdn.myanimelist.net/r/100x140/images/manga/3/106249.jpg?s=3775b829f1a163e2a604df4efcef0848,6.9,Apr 1995 - Jun 1996
